sample_accession	text	tag
SAMEA115183718	TopTrons 2071 Seawater incubation with the Community sampled from mesocosm P3 on incubation day 6 SOT22 P3 t2 euk seawater metagenome ocean biome [ENVO:01000048] | marine biome [ENVO: 00000447] microbial community [PCO:1000004] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA7927169	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study African River Plumes Naledi Pandor on date/time 2022 06 28T07:20:00Z, at location 5.9442 S 10.9181 E and depth (m)=1/5, using protocol FC GP with sample pid SAMEA7927169 This marine metagenome sample was collected during campaign Flagship MMA Topical Study African River Plumes Naledi Pandor on date/time 2022 06 28T07:20:00Z, at location 5.9442 S 10.9181 E and depth (m)=1/5, using protocol FC GP with sample pid SAMEA7927169 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN50502127	 Keywords: GSC:MIxS MIMARKS:6.0 P2 B10 marine plankton metagenome marine pelagic biome [ENVO:01000023] oceanic mesopelagic zone biome [ENVO:01000036] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN44284611	 Q4 Q4 seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11166786	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2622800 TARA SAMEA2622800 METAG MBCPFDEJ marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA36889168	 Luffariella variabilis larvae 10793.Webster.4.C7.313.1181912 sponge metagenome ocean biome reef organic material feature	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN48403225	 Genome skim of Prionotus evolans USNM:FISH:477579 Genome skim of Prionotus evolans USNM:FISH:477579 Prionotus evolans   	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMEA11166991	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2620756 TARA SAMEA2620756 METAG JIMDMMIH marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11143408	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4398168 TARA SAMEA4398168 BIN 00000018 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN45964735	 PSW3 9 PSW3 9 aquatic metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN22059844	 Ab581 Solwara8 Ab581 Solwara8 Alviniconcha boucheti   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN14839563	 Keywords: GSC:MIxS MIMARKS:5.0 Biodegradation Experiment: Time 7 in situ DOM R2 seawater metagenome Mediterranean Sea Coastal NW Mediterranean coastal seawater, prefiltered by 0.8 um	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN06856041	 Pathogen: clinical or host associated sample from Mycobacterium tuberculosis variant bovis Pathogen: clinical or host associated sample from Mycobacterium tuberculosis variant bovis Mycobacterium tuberculosis variant bovis   	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_geo:coastal;env_tax:freshwater;env_tax:terrestrial;env_tax:brackish;env_tax;env_geo:marine
SAMEA11117677	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4397239 TARA SAMEA4397239 METAG COHLBNIA marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN44700044	 Taeniamia zosterophora Taeniamia zosterophora Taeniamia zosterophora   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112524886	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 06 03T07:00:00Z, at location 44.92930 N 12.61450 E and depth (m)=0, using protocol SML 320 with sample pid SAMEA112524886  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11140148	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN05422130 MALA SAMN05422130 BIN 00000012 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN29985104	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from starfish metagenome starfish metagenome Marine Australia:Port Phillip Bay Stomach Contents	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:freshwater;env_geo:marine
SAMEA6012229	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20170128T2208Z OA000 I15 S01 C017 C SEABED SEDIMENT SEQ SSED etoh R01 G 200000302 TARA SAMPLE 20170128T2208Z OA000 I15 S01 C017 C SEABED SEDIMENT SEQ SSED etoh R01 G 200000302 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN44698804	 Taeniamia zosterophora Taeniamia zosterophora Taeniamia zosterophora   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN40932771	 Model organism or animal sample from Sardinops melanosticta Model organism or animal sample from Sardinops melanosticta Sardinops melanosticta   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11162768	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2619927 TARA SAMEA2619927 METAG HADKPLMA marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN10101490	 the gut bacteria of sea urchin the gut bacteria of sea urchin sea urchin metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN06819277	 Keywords: GSC:MIxS MIMARKS:5.0 X8553 echinoderm metagenome metazoan sea star pyloric gastric gland	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN37718854	 2021EcoHAB048 2021EcoHAB048 seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN43083640	 Keywords: GSC:MIxS MIGS:6.0 DRTO 134 Acropora cervicornis marine biome [ENVO:00000447] coral reef [ENVO:00000150] 	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN07625179	 Bacterial communities associated to coral tissue Healthy Peripheral 13 coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08392852	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN04122732	 raw paired end Illumina reads from a deep sea gorgonian octocoral sample Microbe sample from coral metagenome coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA7918271	 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Coccolithophore Bloom Ana Maria Gayoso on date/time 2021 12 23T17:31:00Z, at location 51.9479 S 65.0851 W and depth (m)=10/20, using protocol MB023 with sample pid SAMEA7918271 This marine metagenome sample was collected during campaign Flagship MMA Topical Study Coccolithophore Bloom Ana Maria Gayoso on date/time 2021 12 23T17:31:00Z, at location 51.9479 S 65.0851 W and depth (m)=10/20, using protocol MB023 with sample pid SAMEA7918271 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN07836049	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine sediment metagenome marine sediment metagenome Marine sediment Sea floor Sediment	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00250803	Amplicon sequence of fish mitochondrial 12S rRNA Keywords: GSC:MIxS MIMS:6.0 190617 6 B seawater metagenome sea water coastal sea water water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN17621095	 parital nifH amplicon SP1714.Stn7.50m seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN17599082	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine metagenome marine metagenome open ocean mesopelagic water	env_tax:marine;env_geo;env_tax;env_geo:marine
